classification,typeGroup,subType,name,selectionLabel,sourceRow,type,workType,contractId,accessLevel,category,department,vendor,group,fixedSla,slaVersion,remark,active
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,Reservation System Service Agreement | สัญญาเช่าใช้ระบบสำรองที่นั่ง,Reservation System Service Agreement | สัญญาเช่าใช้ระบบสำรองที่นั่ง,1,Service Agreement / สัญญาให้บริการ,Service Agreement / สัญญาให้บริการ,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,IT,WEELOY PTE. LTD.,Service Agreement / สัญญาให้บริการ,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ,Consultancy Agreement / สัญญาให้คำปรึกษา,Architectural and Interior Design Agreement | สัญญาจ้างออกแบบงานสถาปัตยกรรมและตกแต่งภายใน,Architectural and Interior Design Agreement | สัญญาจ้างออกแบบงานสถาปัตยกรรมและตกแต่งภายใน,2,Consultancy Agreement / สัญญาให้คำปรึกษา,Consultancy Agreement / สัญญาให้คำปรึกษา,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Project Manager,บริษัท เทอร์เทิล ทเว้นตี้ทรี สาขา 0003 – บริษัท เทสต์สเปซ จำกัด,Commercial Agreement / สัญญาทางธุรกิจ,24,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ,Consultancy Agreement / สัญญาให้คำปรึกษา,Kitchen System Design Agreement | สัญญาจ้างออกแบบระบบครัว,Kitchen System Design Agreement | สัญญาจ้างออกแบบระบบครัว,3,Consultancy Agreement / สัญญาให้คำปรึกษา,Consultancy Agreement / สัญญาให้คำปรึกษา,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Project Manager,บริษัท เทอร์เทิล ทเว้นตี้ทรี สาขา 0003 – บริษัท ทรัย-อาร์ค เอ็นเตอร์ไพรส์ จำกัด,Commercial Agreement / สัญญาทางธุรกิจ,24,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ,Consultancy Agreement / สัญญาให้คำปรึกษา,Structural Design Agreement | สัญญาจ้างออกแบบงานโครงสร้างอาคาร,Structural Design Agreement | สัญญาจ้างออกแบบงานโครงสร้างอาคาร,4,Consultancy Agreement / สัญญาให้คำปรึกษา,Consultancy Agreement / สัญญาให้คำปรึกษา,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Project Manager,บริษัท เทอร์เทิล ทเว้นตี้ทรี สาขา 0003 – บริษัท อีทีวายเอส แอนด์ แอสโซซิเอทส์ จำกัด,Commercial Agreement / สัญญาทางธุรกิจ,24,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ,Consultancy Agreement / สัญญาให้คำปรึกษา,"Electrical, Sanitary, Air-Conditioning and External Systems Design Agreement | สัญญาจ้างออกแบบงานระบบไฟฟ้า สุขาภิบาล ปรับอากาศ และระบบภายนอกอาคาร","Electrical, Sanitary, Air-Conditioning and External Systems Design Agreement | สัญญาจ้างออกแบบงานระบบไฟฟ้า สุขาภิบาล ปรับอากาศ และระบบภายนอกอาคาร",5,Consultancy Agreement / สัญญาให้คำปรึกษา,Consultancy Agreement / สัญญาให้คำปรึกษา,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Project Manager,บริษัท เทอร์เทิล ทเว้นตี้ทรี สาขา 0003 – บริษัท มิตรเทคนิคัลคอนซัลแท้นท์ จำกัด,Commercial Agreement / สัญญาทางธุรกิจ,24,2026-08-05-sla-config-updated1-v1,แก้คำจาก “สุภาภิบาล”,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ,Consultancy Agreement / สัญญาให้คำปรึกษา,Architectural Drafting Agreement | สัญญาจ้างเขียนแบบสถาปัตยกรรม,Architectural Drafting Agreement | สัญญาจ้างเขียนแบบสถาปัตยกรรม,6,Consultancy Agreement / สัญญาให้คำปรึกษา,Consultancy Agreement / สัญญาให้คำปรึกษา,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Project Manager,บริษัท เทอร์เทิล ทเว้นตี้ทรี สาขา 0003 – บริษัท ไพศาลวัฒนา การ์ดอลินสกี้ สถาปนิก จำกัด,Commercial Agreement / สัญญาทางธุรกิจ,24,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ,Consultancy Agreement / สัญญาให้คำปรึกษา,Quantity Surveying and Construction Cost Estimation Agreement | สัญญาจ้างสำรวจปริมาณงานและประมาณราคาก่อสร้าง,Quantity Surveying and Construction Cost Estimation Agreement | สัญญาจ้างสำรวจปริมาณงานและประมาณราคาก่อสร้าง,7,Consultancy Agreement / สัญญาให้คำปรึกษา,Consultancy Agreement / สัญญาให้คำปรึกษา,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Project Manager,บริษัท เทอร์เทิล ทเว้นตี้ทรี สาขา 0003 – บริษัท อัลทัส กรุ๊ป เซอร์วิสเซส (ประเทศไทย) จำกัด,Commercial Agreement / สัญญาทางธุรกิจ,24,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ,Consultancy Agreement / สัญญาให้คำปรึกษา,Lighting Design and Consultancy Agreement | สัญญาจ้างออกแบบระบบแสงสว่างและให้คำปรึกษา,Lighting Design and Consultancy Agreement | สัญญาจ้างออกแบบระบบแสงสว่างและให้คำปรึกษา,8,Consultancy Agreement / สัญญาให้คำปรึกษา,Consultancy Agreement / สัญญาให้คำปรึกษา,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Project Manager,บริษัท เทอร์เทิล ทเว้นตี้ทรี สาขา 0003 – บริษัท โบ สไตเบอร์ ไลท์ติ้ง ดีไซน์ (ประเทศไทย) จำกัด,Commercial Agreement / สัญญาทางธุรกิจ,24,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ,Consultancy Agreement / สัญญาให้คำปรึกษา,Interior Design Agreement | สัญญาจ้างออกแบบตกแต่งภายใน,Interior Design Agreement | สัญญาจ้างออกแบบตกแต่งภายใน,9,Consultancy Agreement / สัญญาให้คำปรึกษา,Consultancy Agreement / สัญญาให้คำปรึกษา,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Business Development,PAC Architect,Commercial Agreement / สัญญาทางธุรกิจ,24,2026-08-05-sla-config-updated1-v1,เดิม: Interior,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Outsourcing Agreement / สัญญาจ้าง,,Construction Contractor Agreement | สัญญาจ้างผู้รับเหมาก่อสร้าง,Construction Contractor Agreement | สัญญาจ้างผู้รับเหมาก่อสร้าง,10,Outsourcing Agreement / สัญญาจ้าง,Outsourcing Agreement / สัญญาจ้าง,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Business Development,PAC Architect,Outsourcing Agreement / สัญญาจ้าง,24,2026-08-05-sla-config-updated1-v1,เดิม: Contractor,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Rental Agreement / สัญญาเช่าทั่วไป,Lease and Service Agreement – LahnYai NUSARA (Baan Turtle) | สัญญาเช่าและบริการ – LahnYai NUSARA (Baan Turtle),Lease and Service Agreement – LahnYai NUSARA (Baan Turtle) | สัญญาเช่าและบริการ – LahnYai NUSARA (Baan Turtle),11,Rental Agreement / สัญญาเช่าทั่วไป,Rental Agreement / สัญญาเช่าทั่วไป,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,BLY and FSQ,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,22,2026-08-05-sla-config-updated1-v1,—,Yes
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Rental Agreement / สัญญาเช่าทั่วไป,Lease and Service Agreement – Man Tables (Baan Turtle) | สัญญาเช่าและบริการ – Man Tables (Baan Turtle),Lease and Service Agreement – Man Tables (Baan Turtle) | สัญญาเช่าและบริการ – Man Tables (Baan Turtle),12,Rental Agreement / สัญญาเช่าทั่วไป,Rental Agreement / สัญญาเช่าทั่วไป,,Normal,Day-to-day Work / งานดำเนินงานทั่วไป,Operation,Win Win Kitchen and FSQ,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,22,2026-08-05-sla-config-updated1-v1,—,Yes
