Contract Classification,Type of Contract,Sub Type of Contract,Fixed SLA (Working Days),Standard SLA Version,Active,Category,Description / คำอธิบาย
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Lease Agreement / สัญญาเช่า,20,2026-08-05-sla-config-updated1-v1,Yes,Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Sub Lease Agreement / สัญญาเช่าช่วง,20,2026-08-05-sla-config-updated1-v1,Yes,Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Lease Asset Agreement / สัญญาเช่าทรัพย์สิน,20,2026-08-05-sla-config-updated1-v1,Yes,Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า
Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า,Rental Agreement / สัญญาเช่าทั่วไป,22,2026-08-05-sla-config-updated1-v1,Yes,Day-to-day Work / งานดำเนินงานทั่วไป,Lease & Rental Agreement / สัญญาเช่าและให้เช่า
Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ,,22,2026-08-05-sla-config-updated1-v1,Yes,Day-to-day Work / งานดำเนินงานทั่วไป,Service Agreement / สัญญาให้บริการ
Day-to-day Work / งานดำเนินงานทั่วไป,Amendment Agreement / สัญญาแก้ไขเพิ่มเติม,,20,2026-08-05-sla-config-updated1-v1,Yes,Day-to-day Work / งานดำเนินงานทั่วไป,Amendment Agreement / สัญญาแก้ไขเพิ่มเติม
Day-to-day Work / งานดำเนินงานทั่วไป,Sale and Purchase Agreement / สัญญาซื้อขาย,,24,2026-08-05-sla-config-updated1-v1,Yes,Day-to-day Work / งานดำเนินงานทั่วไป,Sale and Purchase Agreement / สัญญาซื้อขาย
Day-to-day Work / งานดำเนินงานทั่วไป,Outsourcing Agreement / สัญญาจ้าง,,24,2026-08-05-sla-config-updated1-v1,Yes,Day-to-day Work / งานดำเนินงานทั่วไป,Outsourcing Agreement / สัญญาจ้าง
Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ,Consultancy Agreement / สัญญาให้คำปรึกษา,24,2026-08-05-sla-config-updated1-v1,Yes,Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ
Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ,Confidentiality Agreement / สัญญารักษาความลับ,20,2026-08-05-sla-config-updated1-v1,Yes,Day-to-day Work / งานดำเนินงานทั่วไป,Commercial Agreement / สัญญาทางธุรกิจ
Day-to-day Work / งานดำเนินงานทั่วไป,Others / อื่น ๆ,,20,2026-08-05-sla-config-updated1-v1,Yes,Day-to-day Work / งานดำเนินงานทั่วไป,Others / อื่น ๆ
Confidential / สัญญาลับ,Preliminary Agreement / ข้อตกลงเบื้องต้น,Memorandum of Understanding / บันทึกความเข้าใจ,24,2026-08-05-sla-config-updated1-v1,Yes,Confidential / สัญญาลับ,Preliminary Agreement / ข้อตกลงเบื้องต้น
Confidential / สัญญาลับ,Preliminary Agreement / ข้อตกลงเบื้องต้น,Term Sheet / เอกสารสรุปเงื่อนไขเบื้องต้น,24,2026-08-05-sla-config-updated1-v1,Yes,Confidential / สัญญาลับ,Preliminary Agreement / ข้อตกลงเบื้องต้น
Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ,Consultancy Agreement / สัญญาให้คำปรึกษา,24,2026-08-05-sla-config-updated1-v1,Yes,Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ
Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ,Confidentiality Agreement / สัญญารักษาความลับ,20,2026-08-05-sla-config-updated1-v1,Yes,Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ
Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ,Management Agreement / สัญญาบริหารจัดการ,24,2026-08-05-sla-config-updated1-v1,Yes,Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ
Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ,Loan Agreement / สัญญาเงินกู้,28,2026-08-05-sla-config-updated1-v1,Yes,Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ
Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ,Mergers and Acquisitions Agreement / สัญญาการควบรวมและซื้อกิจการ,28,2026-08-05-sla-config-updated1-v1,Yes,Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ
Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ,Shareholders’ Agreement / สัญญาระหว่างผู้ถือหุ้น,28,2026-08-05-sla-config-updated1-v1,Yes,Confidential / สัญญาลับ,Commercial Agreement / สัญญาทางธุรกิจ
Confidential / สัญญาลับ,,Others / อื่น ๆ,20,2026-08-05-sla-config-updated1-v1,Yes,Confidential / สัญญาลับ,
